Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,,Space Type,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,Unassigned,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,Unassigned,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,GENERAL,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Unassigned,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,GENERAL,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Unassigned,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unassigned,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,Unassigned,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,Unassigned,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Unassigned,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,Unassigned,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Gasoline Intensity [MJ/m2],Diesel Intensity [MJ/m2],Coal Intensity [MJ/m2],Fuel Oil No 1 Intensity [MJ/m2],Fuel Oil No 2 Intensity [MJ/m2],Propane Intensity [MJ/m2],Other Fuel 1 Intensity [MJ/m2],Other Fuel 2 Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Water Intensity [MJ/m2],District Heating Steam Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,51.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,153.11,289.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87
,Other,193.04,157.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,398.13,447.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87


Utility Use Per Total Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Gasoline Intensity [MJ/m2],Diesel Intensity [MJ/m2],Coal Intensity [MJ/m2],Fuel Oil No 1 Intensity [MJ/m2],Fuel Oil No 2 Intensity [MJ/m2],Propane Intensity [MJ/m2],Other Fuel 1 Intensity [MJ/m2],Other Fuel 2 Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Water Intensity [MJ/m2],District Heating Steam Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,51.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,HVAC,153.11,289.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,Other,193.04,157.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,Total,398.13,447.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


Electric Loads Satisfied

,,Electricity [GJ],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,183.524,4.06
,Wind Power,0.000,0.00
,Power Conversion,-8.16,-0.2
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,175.359,3.88
,,,
,Electricity Coming From Utility,4341.520,96.12
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,4341.520,96.12
,,,
,Total On-Site and Utility Electric Sources,4516.879,100.00
,Total Electricity End Uses,4516.879,100.00


On-Site Thermal Sources

,,Heat [GJ],Percent Heat [%]
,Water-Side Heat Recovery,0.00,0.00
,Air to Air Heat Recovery for Cooling,363.46,28.87
,Air to Air Heat Recovery for Heating,895.36,71.13
,High-Temperature Geothermal*,0.00,0.00
,Solar Water Thermal,0.00,0.00
,Solar Air Thermal,0.00,0.00
,Total On-Site Thermal Sources,1258.82,100.00


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,0.00
,Condensate Collection,0.00,0.00
,Groundwater Well,0.00,0.00
,Total On Site Water Sources,0.00,0.00
,-,-,-
,Initial Storage,0.00,0.00
,Final Storage,0.00,0.00
,Change in Storage,0.00,0.00
,-,-,-
,Water Supplied by Utility,9857.19,100.00
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,9857.19,100.00
,Total Water End Uses,9857.19,100.00


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,0.56
,Tolerance for Zone Cooling Setpoint Not Met Time,0.56


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,0.33
,Time Setpoint Not Met During Occupied Cooling,63.67
,Time Not Comfortable Based on Simple ASHRAE 55-2004,7996.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
,RunPeriod,RUNPERIOD 1
,Weather File,New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860
,Latitude [deg],40.65
,Longitude [deg],-73.8
,Elevation [m],5.00
,Time Zone,-5.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],8760.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],4559.59,1873.43,406.47,1873.22,406.47
,Above Ground Wall Area [m2],4025.82,1662.30,350.71,1662.10,350.71
,Window Opening Area [m2],1213.79,432.95,85.85,609.15,85.85
,Gross Window-Wall Ratio [%],26.62,23.11,21.12,32.52,21.12
,Above Ground Window-Wall Ratio [%],30.15,26.05,24.48,36.65,24.48


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],4559.59,1873.43,406.47,1873.22,406.47
,Above Ground Wall Area [m2],4025.82,1662.30,350.71,1662.10,350.71
,Window Opening Area [m2],1213.79,432.95,85.85,609.15,85.85
,Gross Window-Wall Ratio [%],26.62,23.11,21.12,32.52,21.12
,Above Ground Window-Wall Ratio [%],30.15,26.05,24.48,36.65,24.48


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],1978.84
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,BASEMENT,1978.83,Yes,Yes,4826.41,1.00,0.00,533.77,0.00,0.00,5.8772,18.58,5.3800
,RETAIL_1_FLR_1,67.07,Yes,Yes,265.76,1.00,68.84,0.00,23.26,23.26,7.1580,6.19,10.7600
,RETAIL_2_FLR_1,77.67,Yes,Yes,307.76,1.00,26.57,0.00,0.00,0.00,7.1580,6.19,10.7600
,MECH_FLR_1,164.24,Yes,Yes,650.80,1.00,62.80,0.00,0.00,0.00,6.8781,61.93,5.3800
,STORAGE_FLR_1,94.76,Yes,Yes,375.47,1.00,36.23,0.00,0.00,0.00,3.5805,46.45,2.6900
,LAUNDRY_FLR_1,78.04,Yes,Yes,309.22,1.00,85.75,0.00,0.00,0.00,4.9406,9.29,597.5300
,CAFE_FLR_1,188.86,Yes,Yes,748.35,1.00,152.17,0.00,65.50,65.50,7.3625,1.33,5.3800
,LOBBY_FLR_1,1308.19,Yes,Yes,5183.56,1.00,434.79,0.00,85.08,85.08,7.7500,3.10,8.0700
,ROOM_1_FLR_3,39.02,Yes,Yes,118.94,4.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,ROOM_2_FLR_3,39.02,Yes,Yes,118.93,4.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,ROOM_3_MULT19_FLR_3,24.52,Yes,Yes,74.75,76.00,11.15,0.00,3.68,3.68,4.4132,16.35,10.5200
,ROOM_4_MULT19_FLR_3,24.53,Yes,Yes,74.77,76.00,11.15,0.00,3.68,3.68,4.4132,16.35,10.5200
,ROOM_5_FLR_3,39.02,Yes,Yes,118.94,4.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,ROOM_6_FLR_3,39.02,Yes,Yes,118.93,4.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,CORRIDOR_FLR_3,389.40,Yes,Yes,1186.91,4.00,48.31,0.00,15.94,15.94,4.2625,18.58,0.0000
,ROOM_1_FLR_6,39.02,Yes,Yes,118.94,1.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,ROOM_2_FLR_6,39.02,Yes,Yes,118.93,1.00,39.95,0.00,13.18,13.18,4.4132,26.01,6.7500
,ROOM_3_MULT9_FLR_6,24.53,Yes,Yes,74.77,9.00,20.44,0.00,6.74,6.74,4.4132,16.35,10.5200
,BANQUET_FLR_6,331.66,Yes,Yes,1010.89,1.00,97.55,0.00,32.19,32.19,7.3625,1.33,67.8200
,DINING_FLR_6,331.66,Yes,Yes,1010.89,1.00,97.55,0.00,32.19,32.19,7.3625,1.33,67.8200
,KITCHEN_FLR_6,103.30,Yes,Yes,314.87,1.00,87.33,0.00,26.37,26.37,11.5281,4.65,2931.5031
,CORRIDOR_FLR_6,412.12,Yes,Yes,1256.16,1.00,85.47,0.00,28.20,28.20,4.2625,18.58,0.0000
,Total,11345.29,,,35184.81,,4025.82,533.77,1213.79,1213.79,5.3808,7.07,41.0437
,Conditioned Total,11345.29,,,35184.81,,4025.82,533.77,1213.79,1213.79,5.3808,7.07,41.0437
,Unconditioned Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


Space Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Multipliers,Zone Name,Space Type,Radiant/Solar Enclosure Name,Lighting [W/m2],People [m2 per person],Plug and Process [W/m2],Tags
,BASEMENT,1978.83,Yes,Yes,1.00,BASEMENT,GENERAL,BASEMENT,5.8772,18.58,5.3800,
,RETAIL_1_FLR_1,67.07,Yes,Yes,1.00,RETAIL_1_FLR_1,GENERAL,RETAIL_1_FLR_1,7.1580,6.19,10.7600,
,RETAIL_2_FLR_1,77.67,Yes,Yes,1.00,RETAIL_2_FLR_1,GENERAL,RETAIL_2_FLR_1,7.1580,6.19,10.7600,
,MECH_FLR_1,164.24,Yes,Yes,1.00,MECH_FLR_1,GENERAL,MECH_FLR_1,6.8781,61.93,5.3800,
,STORAGE_FLR_1,94.76,Yes,Yes,1.00,STORAGE_FLR_1,GENERAL,STORAGE_FLR_1,3.5805,46.45,2.6900,
,LAUNDRY_FLR_1,78.04,Yes,Yes,1.00,LAUNDRY_FLR_1,GENERAL,LAUNDRY_FLR_1,4.9406,9.29,597.5300,
,CAFE_FLR_1,188.86,Yes,Yes,1.00,CAFE_FLR_1,GENERAL,CAFE_FLR_1,7.3625,1.33,5.3800,
,LOBBY_FLR_1,1308.19,Yes,Yes,1.00,LOBBY_FLR_1,GENERAL,LOBBY_FLR_1,7.7500,3.10,8.0700,
,ROOM_1_FLR_3,39.02,Yes,Yes,4.00,ROOM_1_FLR_3,GENERAL,ROOM_1_FLR_3,4.4132,26.01,6.7500,
,ROOM_2_FLR_3,39.02,Yes,Yes,4.00,ROOM_2_FLR_3,GENERAL,ROOM_2_FLR_3,4.4132,26.01,6.7500,
,ROOM_3_MULT19_FLR_3,24.52,Yes,Yes,76.00,ROOM_3_MULT19_FLR_3,GENERAL,ROOM_3_MULT19_FLR_3,4.4132,16.35,10.5200,
,ROOM_4_MULT19_FLR_3,24.53,Yes,Yes,76.00,ROOM_4_MULT19_FLR_3,GENERAL,ROOM_4_MULT19_FLR_3,4.4132,16.35,10.5200,
,ROOM_5_FLR_3,39.02,Yes,Yes,4.00,ROOM_5_FLR_3,GENERAL,ROOM_5_FLR_3,4.4132,26.01,6.7500,
,ROOM_6_FLR_3,39.02,Yes,Yes,4.00,ROOM_6_FLR_3,GENERAL,ROOM_6_FLR_3,4.4132,26.01,6.7500,
,CORRIDOR_FLR_3,389.40,Yes,Yes,4.00,CORRIDOR_FLR_3,GENERAL,CORRIDOR_FLR_3,4.2625,18.58,0.0000,
,ROOM_1_FLR_6,39.02,Yes,Yes,1.00,ROOM_1_FLR_6,GENERAL,ROOM_1_FLR_6,4.4132,26.01,6.7500,
,ROOM_2_FLR_6,39.02,Yes,Yes,1.00,ROOM_2_FLR_6,GENERAL,ROOM_2_FLR_6,4.4132,26.01,6.7500,
,ROOM_3_MULT9_FLR_6,24.53,Yes,Yes,9.00,ROOM_3_MULT9_FLR_6,GENERAL,ROOM_3_MULT9_FLR_6,4.4132,16.35,10.5200,
,BANQUET_FLR_6,331.66,Yes,Yes,1.00,BANQUET_FLR_6,GENERAL,BANQUET_FLR_6,7.3625,1.33,67.8200,
,DINING_FLR_6,331.66,Yes,Yes,1.00,DINING_FLR_6,GENERAL,DINING_FLR_6,7.3625,1.33,67.8200,
,KITCHEN_FLR_6,103.30,Yes,Yes,1.00,KITCHEN_FLR_6,GENERAL,KITCHEN_FLR_6,11.5281,4.65,2931.5031,
,CORRIDOR_FLR_6,412.12,Yes,Yes,1.00,CORRIDOR_FLR_6,GENERAL,CORRIDOR_FLR_6,4.2625,18.58,0.0000,
,Total,11345.29,,,,,,,5.3808,7.07,41.0437,
,Conditioned Total,11345.29,,,,,,,5.3808,7.07,41.0437,
,Unconditioned Total,0.00,,,,,,,0.0000,0.00,0.0000,
,Not Part of Total,0.00,,,,,,,0.0000,0.00,0.0000,


Space Type Summary

,,Total Area [m2],Conditioned Area [m2],Unconditioned Area [m2],Not Part of Total Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,GENERAL,11345.29,11345.29,0.00,0.00,3.2523,8.82,37.1717
,Total,11345.29,11345.29,0.00,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Gasoline [W],Diesel [W],Coal [W],Fuel Oil No 1 [W],Fuel Oil No 2 [W],Propane [W],Other Fuel 1 [W],Other Fuel 2 [W],District Cooling [W],District Heating Water [W],District Heating Steam [W],Water [m3/s]
,Time of Peak,04-AUG-19:20,04-FEB-19:20,-,-,-,-,-,-,-,-,-,-,-,02-JAN-21:20
,Heating,0.00,152179.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,160273.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
