Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/03  22:00:00,116026679.5314265,316476904.2711447 
 01/03  23:00:00,87121324.46308938,237119919.57080144 
 01/03  24:00:00,43357451.11758568,177234649.95748654 
 01/04  01:00:00,28904963.56930822,96537163.26531492 
 01/04  02:00:00,21882138.185889654,91277193.57122909 
 01/04  03:00:00,14452487.548277447,86017223.8771433 
 01/04  04:00:00,14452487.548277447,86017223.8771433 
 01/04  05:00:00,14452487.548277447,86017223.8771433 
 01/04  06:00:00,28904963.56930822,96537163.26531492 
 01/04  07:00:00,57809927.13861644,245189338.7076582 
 01/04  08:00:00,71238120.81022617,319907349.6610299 
 01/04  09:00:00,54125826.67375765,231075868.03205818 
 01/04  10:00:00,53712245.261569425,231075868.03205818 
 01/04  11:00:00,33753133.864458255,163643665.13140076 
 01/04  12:00:00,33753133.864458255,163643665.13140076 
 01/04  13:00:00,33753133.864458255,163643665.13140076 
 01/04  14:00:00,33753133.864458255,163643665.13140076 
 01/04  15:00:00,33925842.970412254,163643665.13140076 
 01/04  16:00:00,34146485.731803,163643665.13140076 
 01/04  17:00:00,35874338.76334033,175307086.31620073 
 01/04  18:00:00,36334614.20692044,223626974.08180067 
 01/04  19:00:00,87121324.46308938,260446761.94040146 
 01/04  20:00:00,116026679.5314265,278154234.6639447 
 01/04  21:00:00,130479167.07970402,310073452.7804306 
 01/04  22:00:00,116026679.5314265,316476904.2711447 
 01/04  23:00:00,87121324.46308938,237119919.57080144 
 01/04  24:00:00,43357451.11758568,177234649.95748654 
 01/05  01:00:00,28904963.56930822,96537163.26531492 
 01/05  02:00:00,21882138.185889654,91277193.57122909 
 01/05  03:00:00,14452487.548277447,86017223.8771433 
 01/05  04:00:00,14452487.548277447,86017223.8771433 
 01/05  05:00:00,14452487.548277447,86017223.8771433 
 01/05  06:00:00,28904963.56930822,96537163.26531492 
 01/05  07:00:00,57809927.13861644,245189338.7076582 
 01/05  08:00:00,70976203.16762644,319907349.6610299 
 01/05  09:00:00,54106165.64384332,231075868.03205818 
 01/05  10:00:00,53757617.42705289,231075868.03205818 
 01/05  11:00:00,33753133.864458255,163643665.13140076 
 01/05  12:00:00,33753133.864458255,163643665.13140076 
 01/05  13:00:00,33753133.864458255,163643665.13140076 
 01/05  14:00:00,33860930.12825774,163643665.13140076 
 01/05  15:00:00,33910846.848519966,163643665.13140076 
 01/05  16:00:00,34139672.059755385,163643665.13140076 
 01/05  17:00:00,35920206.1699742,175307086.31620073 
 01/05  18:00:00,36334614.20692044,223626974.08180067 
 01/05  19:00:00,87121324.46308938,260446761.94040146 
 01/05  20:00:00,116026679.5314265,278154234.6639447 
 01/05  21:00:00,130479167.07970402,310073452.7804306 
 01/05  22:00:00,116026679.5314265,316476904.2711447 
 01/05  23:00:00,87121324.46308938,237119919.57080144 
 01/05  24:00:00,43357451.11758568,177234649.95748654 
 01/06  01:00:00,28904963.56930822,96537163.26531492 
 01/06  02:00:00,21882138.185889654,91277193.57122909 
 01/06  03:00:00,14452487.548277447,86017223.8771433 
 01/06  04:00:00,14452487.548277447,86017223.8771433 
 01/06  05:00:00,14452487.548277447,86017223.8771433 
 01/06  06:00:00,28904963.56930822,96537163.26531492 
 01/06  07:00:00,57809927.13861644,245189338.7076582 
 01/06  08:00:00,70961777.43246163,319907349.6610299 
 01/06  09:00:00,54084843.50130552,231075868.03205818 
 01/06  10:00:00,53761065.16287056,231075868.03205818 
 01/06  11:00:00,33753133.864458255,163643665.13140076 
 01/06  12:00:00,33773358.026979685,163643665.13140076 
 01/06  13:00:00,33921427.81410096,163643665.13140076 
 01/06  14:00:00,34125107.26473362,163643665.13140076 
 01/06  15:00:00,34619842.39350883,163643665.13140076 
 01/06  16:00:00,34855115.91195957,163643665.13140076 
 01/06  17:00:00,36032136.56530801,175307086.31620073 
 01/06  18:00:00,36334614.20692044,223626974.08180067 
 01/06  19:00:00,87121324.46308938,260446761.94040146 
 01/06  20:00:00,116026679.5314265,278154234.6639447 
 01/06  21:00:00,130479167.07970402,310073452.7804306 
 01/06  22:00:00,116026679.5314265,316476904.2711447 
 01/06  23:00:00,87121324.46308938,237119919.57080144 
 01/06  24:00:00,43357451.11758568,177234649.95748654 
 01/07  01:00:00,30530698.589966886,96537163.26531492 
 01/07  02:00:00,30530698.589966886,96537163.26531492 
 01/07  03:00:00,14452487.548277447,86017223.8771433 
 01/07  04:00:00,14452487.548277447,86017223.8771433 
 01/07  05:00:00,14452487.548277447,86017223.8771433 
 01/07  06:00:00,14452487.548277447,86017223.8771433 
 01/07  07:00:00,46608921.15890301,181350902.47468653 
 01/07  08:00:00,45839043.64704922,252213786.14548656 
 01/07  09:00:00,59009350.136697434,309387410.2728582 
 01/07  10:00:00,58588124.25007928,262733725.53365818 
 01/07  11:00:00,43511144.7479484,170569837.85188654 
 01/07  12:00:00,35785302.640281595,165309868.15780073 
 01/07  13:00:00,35785302.640281595,165309868.15780073 
 01/07  14:00:00,35846666.92126296,165309868.15780073 
 01/07  15:00:00,35956871.62189235,165309868.15780073 
 01/07  16:00:00,36148508.532841414,165309868.15780073 
 01/07  17:00:00,37964757.506376036,178639492.36900073 
 01/07  18:00:00,38366782.98274377,210297349.87060076 
 01/07  19:00:00,94437132.05605336,260446761.94040146 
 01/07  20:00:00,110515746.1240184,267634295.27577314 
 01/07  21:00:00,110515746.1240184,294293543.6981731 
 01/07  22:00:00,110515746.1240184,305956964.88297313 
 01/07  23:00:00,94437132.05605336,237119919.57080144 
 01/07  24:00:00,46608921.15890301,177234649.95748654 
 01/08  01:00:00,40512414.83143302,107057102.65348656 
 01/08  02:00:00,40512414.83143302,107057102.65348656 
 01/08  03:00:00,24434192.262496896,96537163.26531492 
 01/08  04:00:00,24434192.262496896,96537163.26531492 
 01/08  05:00:00,24434192.262496896,96537163.26531492 
 01/08  06:00:00,24434192.262496896,96537163.26531492 
 01/08  07:00:00,46608921.15890301,181350902.47468653 
 01/08  08:00:00,56189507.68574351,262733725.53365818 
 01/08  09:00:00,59834100.85985923,309387410.2728582 
 01/08  10:00:00,49852665.01522509,252213786.14548656 
 01/08  11:00:00,43955752.093996,170569837.85188654 
 01/08  12:00:00,40871725.10548308,170569837.85188654 
 01/08  13:00:00,40948573.75470832,170569837.85188654 
 01/08  14:00:00,31906905.493534904,160049898.46371493 
 01/08  15:00:00,32219001.226947278,160049898.46371493 
 01/08  16:00:00,32776296.10779025,160049898.46371493 
 01/08  17:00:00,33322103.871279754,173379522.67491493 
 01/08  18:00:00,33375734.876119547,205037380.1765149 
 01/08  19:00:00,84455427.34183392,249926822.55222982 
 01/08  20:00:00,110515746.1240184,267634295.27577314 
 01/08  21:00:00,120497450.83823784,304813483.0863448 
 01/08  22:00:00,100533638.38352334,295437025.49480146 
 01/08  23:00:00,84455427.34183392,226599980.18262976 
 01/08  24:00:00,46608921.15890301,177234649.95748654 
 01/09  01:00:00,28904963.56930822,96537163.26531492 
 01/09  02:00:00,21882138.185889654,91277193.57122909 
 01/09  03:00:00,14452487.548277447,86017223.8771433 
 01/09  04:00:00,14452487.548277447,86017223.8771433 
 01/09  05:00:00,14452487.548277447,86017223.8771433 
 01/09  06:00:00,28904963.56930822,96537163.26531492 
 01/09  07:00:00,57809927.13861644,245189338.7076582 
 01/09  08:00:00,71881057.727997,319907349.6610299 
 01/09  09:00:00,54484996.24826137,231075868.03205818 
 01/09  10:00:00,53986611.5760323,231075868.03205818 
 01/09  11:00:00,33915635.515741885,163643665.13140076 
 01/09  12:00:00,33811361.61650155,163643665.13140076 
 01/09  13:00:00,33906700.38840779,163643665.13140076 
 01/09  14:00:00,33876519.83649935,163643665.13140076 
 01/09  15:00:00,34321848.169631734,163643665.13140076 
 01/09  16:00:00,35396846.94628374,163643665.13140076 
 01/09  17:00:00,36236490.2664028,175307086.31620073 
 01/09  18:00:00,36334614.20692044,223626974.08180067 
 01/09  19:00:00,87121324.46308938,260446761.94040146 
 01/09  20:00:00,116026679.5314265,278154234.6639447 
 01/09  21:00:00,130479167.07970402,310073452.7804306 
 01/09  22:00:00,116026679.5314265,316476904.2711447 
 01/09  23:00:00,87121324.46308938,237119919.57080144 
 01/09  24:00:00,43357451.11758568,177234649.95748654 
 01/10  01:00:00,28904963.56930822,96537163.26531492 
 01/10  02:00:00,21882138.185889654,91277193.57122909 
 01/10  03:00:00,14452487.548277447,86017223.8771433 
 01/10  04:00:00,14452487.548277447,86017223.8771433 
 01/10  05:00:00,14452487.548277447,86017223.8771433 
 01/10  06:00:00,28904963.56930822,96537163.26531492 
 01/10  07:00:00,57809927.13861644,245189338.7076582 
 01/10  08:00:00,70869049.26328,319907349.6610299 
 01/10  09:00:00,53967159.903014496,231075868.03205818 
 01/10  10:00:00,53714912.909384325,231075868.03205818 
 01/10  11:00:00,33882588.12730969,163643665.13140076 
 01/10  12:00:00,33753133.864458255,163643665.13140076 
 01/10  13:00:00,33753133.864458255,163643665.13140076 
 01/10  14:00:00,33838835.66676975,163643665.13140076 
 01/10  15:00:00,33915059.05933655,163643665.13140076 
 01/10  16:00:00,34087064.7418943,163643665.13140076 
 01/10  17:00:00,35661045.44167185,175307086.31620073 
 01/10  18:00:00,36334614.20692044,223626974.08180067 
 01/10  19:00:00,87121324.46308938,260446761.94040146 
 01/10  20:00:00,116026679.5314265,278154234.6639447 
 01/10  21:00:00,130479167.07970402,310073452.7804306 
 01/10  22:00:00,116026679.5314265,316476904.2711447 
 01/10  23:00:00,87121324.46308938,237119919.57080144 
 01/10  24:00:00,43357451.11758568,177234649.95748654 
 01/11  01:00:00,28904963.56930822,96537163.26531492 
 01/11  02:00:00,21882138.185889654,91277193.57122909 
 01/11  03:00:00,14452487.548277447,86017223.8771433 
 01/11  04:00:00,14452487.548277447,86017223.8771433 
 01/11  05:00:00,14452487.548277447,86017223.8771433 
 01/11  06:00:00,28904963.56930822,96537163.26531492 
 01/11  07:00:00,57809927.13861644,245189338.7076582 
 01/11  08:00:00,70845739.97620042,319907349.6610299 
 01/11  09:00:00,53968984.92132708,231075868.03205818 
 01/11  10:00:00,53679558.59067696,231075868.03205818 
 01/11  11:00:00,33870025.30180558,163643665.13140076 
 01/11  12:00:00,33872027.289390445,163643665.13140076 
 01/11  13:00:00,33753133.864458255,163643665.13140076 
 01/11  14:00:00,33753133.864458255,163643665.13140076 
 01/11  15:00:00,33912339.400030926,163643665.13140076 
 01/11  16:00:00,34095921.3319142,163643665.13140076 
 01/11  17:00:00,35639073.93851667,175307086.31620073 
 01/11  18:00:00,36334614.20692044,223626974.08180067 
 01/11  19:00:00,87121324.46308938,260446761.94040146 
 01/11  20:00:00,116026679.5314265,278154234.6639447 
 01/11  21:00:00,130479167.07970402,310073452.7804306 
 01/11  22:00:00,116026679.5314265,316476904.2711447 
 01/11  23:00:00,87121324.46308938,237119919.57080144 
 01/11  24:00:00,43357451.11758568,177234649.95748654 
 01/12  01:00:00,28904963.56930822,96537163.26531492 
 01/12  02:00:00,21882138.185889654,91277193.57122909 
 01/12  03:00:00,14452487.548277447,86017223.8771433 
 01/12  04:00:00,14452487.548277447,86017223.8771433 
 01/12  05:00:00,14452487.548277447,86017223.8771433 
 01/12  06:00:00,28904963.56930822,96537163.26531492 
 01/12  07:00:00,57809927.13861644,245189338.7076582 
 01/12  08:00:00,72169467.46292746,319907349.6610299 
 01/12  09:00:00,54992523.3876147,231075868.03205818 
 01/12  10:00:00,53930667.4377619,231075868.03205818 
 01/12  11:00:00,33753133.864458255,163643665.13140076 
 01/12  12:00:00,33753133.864458255,163643665.13140076 
 01/12  13:00:00,33753133.864458255,163643665.13140076 
 01/12  14:00:00,33772015.35155615,163643665.13140076 
 01/12  15:00:00,33911574.860043764,163643665.13140076 
 01/12  16:00:00,33984535.79787927,163643665.13140076 
 01/12  17:00:00,35585048.51635112,175307086.31620073 
 01/12  18:00:00,36334614.20692044,223626974.08180067 
 01/12  19:00:00,87121324.46308938,260446761.94040146 
 01/12  20:00:00,116026679.5314265,278154234.6639447 
 01/12  21:00:00,130479167.07970402,310073452.7804306 
 01/12  22:00:00,116026679.5314265,316476904.2711447 
 01/12  23:00:00,87121324.46308938,237119919.57080144 
 01/12  24:00:00,43357451.11758568,177234649.95748654 
 01/13  01:00:00,28904963.56930822,96537163.26531492 
 01/13  02:00:00,21882138.185889654,91277193.57122909 
 01/13  03:00:00,14452487.548277447,86017223.8771433 
 01/13  04:00:00,14452487.548277447,86017223.8771433 
 01/13  05:00:00,14452487.548277447,86017223.8771433 
 01/13  06:00:00,28904963.56930822,96537163.26531492 
 01/13  07:00:00,57809927.13861644,245189338.7076582 
 01/13  08:00:00,71963228.33676386,319907349.6610299 
 01/13  09:00:00,54634036.5709307,231075868.03205818 
 01/13  10:00:00,53976605.282422915,231075868.03205818 
 01/13  11:00:00,33904078.86502788,163643665.13140076 
 01/13  12:00:00,33883020.81310723,163643665.13140076 
 01/13  13:00:00,33893287.54828042,163643665.13140076 
 01/13  14:00:00,34087935.653058924,163643665.13140076 
 01/13  15:00:00,34012217.433495715,163643665.13140076 
 01/13  16:00:00,34589859.26239309,163643665.13140076 
 01/13  17:00:00,36151013.041457176,175307086.31620073 
 01/13  18:00:00,36334614.20692044,223626974.08180067 
 01/13  19:00:00,87121324.46308938,260446761.94040146 
 01/13  20:00:00,116026679.5314265,278154234.6639447 
 01/13  21:00:00,130479167.07970402,310073452.7804306 
 01/13  22:00:00,116026679.5314265,316476904.2711447 
 01/13  23:00:00,87121324.46308938,237119919.57080144 
 01/13  24:00:00,43357451.11758568,177234649.95748654 
 01/14  01:00:00,30530698.589966886,96537163.26531492 
 01/14  02:00:00,30530698.589966886,96537163.26531492 
 01/14  03:00:00,14452487.548277447,86017223.8771433 
 01/14  04:00:00,14452487.548277447,86017223.8771433 
 01/14  05:00:00,14452487.548277447,86017223.8771433 
 01/14  06:00:00,14452487.548277447,86017223.8771433 
 01/14  07:00:00,46608921.15890301,181350902.47468653 
 01/14  08:00:00,45971537.53063951,252213786.14548656 
 01/14  09:00:00,59124918.67630692,309387410.2728582 
 01/14  10:00:00,59050857.47150385,262733725.53365818 
 01/14  11:00:00,44300190.584560946,170569837.85188654 
 01/14  12:00:00,36373272.49112607,165309868.15780073 
 01/14  13:00:00,36302526.80792612,165309868.15780073 
 01/14  14:00:00,36478625.81131267,165309868.15780073 
 01/14  15:00:00,36799747.28200316,165309868.15780073 
 01/14  16:00:00,37131179.48221518,165309868.15780073 
 01/14  17:00:00,38213372.6472437,178639492.36900073 
 01/14  18:00:00,38366782.98274377,210297349.87060076 
 01/14  19:00:00,94437132.05605336,260446761.94040146 
 01/14  20:00:00,110515746.1240184,267634295.27577314 
 01/14  21:00:00,110515746.1240184,294293543.6981731 
 01/14  22:00:00,110515746.1240184,305956964.88297313 
 01/14  23:00:00,94437132.05605336,237119919.57080144 
 01/14  24:00:00,46608921.15890301,177234649.95748654 
 01/15  01:00:00,40512414.83143302,107057102.65348656 
 01/15  02:00:00,40512414.83143302,107057102.65348656 
 01/15  03:00:00,24434192.262496896,96537163.26531492 
 01/15  04:00:00,24434192.262496896,96537163.26531492 
 01/15  05:00:00,24434192.262496896,96537163.26531492 
 01/15  06:00:00,24434192.262496896,96537163.26531492 
 01/15  07:00:00,46608921.15890301,181350902.47468653 
 01/15  08:00:00,56325931.35844274,262733725.53365818 
 01/15  09:00:00,61047496.03381049,309387410.2728582 
 01/15  10:00:00,50843047.765309885,252213786.14548656 
 01/15  11:00:00,44380470.13278536,170569837.85188654 
 01/15  12:00:00,40816748.39388257,170569837.85188654 
 01/15  13:00:00,40338681.90961176,170569837.85188654 
 01/15  14:00:00,31428878.7960001,160049898.46371493 
 01/15  15:00:00,31476419.957262307,160049898.46371493 
 01/15  16:00:00,31504987.922918793,160049898.46371493 
 01/15  17:00:00,32860961.010799028,173379522.67491493 
 01/15  18:00:00,33375734.876119547,205037380.1765149 
 01/15  19:00:00,84455427.34183392,249926822.55222982 
 01/15  20:00:00,110515746.1240184,267634295.27577314 
 01/15  21:00:00,120497450.83823784,304813483.0863448 
 01/15  22:00:00,100533638.38352334,295437025.49480146 
 01/15  23:00:00,84455427.34183392,226599980.18262976 
 01/15  24:00:00,46608921.15890301,177234649.95748654 
 01/16  01:00:00,40512414.83143302,107057102.65348656 
 01/16  02:00:00,40512414.83143302,107057102.65348656 
 01/16  03:00:00,24434192.262496896,96537163.26531492 
 01/16  04:00:00,24434192.262496896,96537163.26531492 
 01/16  05:00:00,24434192.262496896,96537163.26531492 
 01/16  06:00:00,24434192.262496896,96537163.26531492 
 01/16  07:00:00,46608921.15890301,181350902.47468653 
 01/16  08:00:00,55077573.58546859,262733725.53365818 
 01/16  09:00:00,58840499.086822554,309387410.2728582 
 01/16  10:00:00,49725491.51917054,252213786.14548656 
 01/16  11:00:00,43586138.71900302,170569837.85188654 
 01/16  12:00:00,40259674.70663107,170569837.85188654 
 01/16  13:00:00,40259674.70663107,170569837.85188654 
 01/16  14:00:00,31310550.602149807,160049898.46371493 
 01/16  15:00:00,31390860.34172039,160049898.46371493 
 01/16  16:00:00,31536967.618705954,160049898.46371493 
 01/16  17:00:00,32713979.94850322,173379522.67491493 
 01/16  18:00:00,33375734.876119547,205037380.1765149 
 01/16  19:00:00,84455427.34183392,249926822.55222982 
 01/16  20:00:00,110515746.1240184,267634295.27577314 
 01/16  21:00:00,120497450.83823784,304813483.0863448 
 01/16  22:00:00,100533638.38352334,295437025.49480146 
 01/16  23:00:00,84455427.34183392,226599980.18262976 
 01/16  24:00:00,46608921.15890301,177234649.95748654 
 01/17  01:00:00,28904963.56930822,96537163.26531492 
 01/17  02:00:00,21882138.185889654,91277193.57122909 
 01/17  03:00:00,14452487.548277447,86017223.8771433 
 01/17  04:00:00,14452487.548277447,86017223.8771433 
 01/17  05:00:00,14452487.548277447,86017223.8771433 
 01/17  06:00:00,28904963.56930822,96537163.26531492 
 01/17  07:00:00,57809927.13861644,245189338.7076582 
 01/17  08:00:00,70730736.72983111,319907349.6610299 
 01/17  09:00:00,53949004.326911375,231075868.03205818 
 01/17  10:00:00,53679558.59067696,231075868.03205818 
 01/17  11:00:00,33753133.864458255,163643665.13140076 
 01/17  12:00:00,33753133.864458255,163643665.13140076 
 01/17  13:00:00,33753133.864458255,163643665.13140076 
 01/17  14:00:00,33851119.23326029,163643665.13140076 
 01/17  15:00:00,33894817.522819534,163643665.13140076 
 01/17  16:00:00,34069611.41905509,163643665.13140076 
 01/17  17:00:00,35483147.57293989,175307086.31620073 
 01/17  18:00:00,36334614.20692044,223626974.08180067 
 01/17  19:00:00,87121324.46308938,260446761.94040146 
 01/17  20:00:00,116026679.5314265,278154234.6639447 
 01/17  21:00:00,130479167.07970402,310073452.7804306 
 01/17  22:00:00,116026679.5314265,316476904.2711447 
 01/17  23:00:00,87121324.46308938,237119919.57080144 
 01/17  24:00:00,43357451.11758568,177234649.95748654 
 01/18  01:00:00,28904963.56930822,96537163.26531492 
 01/18  02:00:00,21882138.185889654,91277193.57122909 
 01/18  03:00:00,14452487.548277447,86017223.8771433 
 01/18  04:00:00,14452487.548277447,86017223.8771433 
 01/18  05:00:00,14452487.548277447,86017223.8771433 
 01/18  06:00:00,28904963.56930822,96537163.26531492 
 01/18  07:00:00,57809927.13861644,245189338.7076582 
 01/18  08:00:00,72257579.69324307,319907349.6610299 
 01/18  09:00:00,55837158.6024308,231075868.03205818 
 01/18  10:00:00,55231938.53807951,231075868.03205818 
 01/18  11:00:00,34244240.362181485,163643665.13140076 
 01/18  12:00:00,33938631.93244982,163643665.13140076 
 01/18  13:00:00,33992304.73805666,163643665.13140076 
 01/18  14:00:00,34393441.71498292,163643665.13140076 
 01/18  15:00:00,34734717.744119376,163643665.13140076 
 01/18  16:00:00,35487122.205510885,163643665.13140076 
 01/18  17:00:00,36139556.3485812,175307086.31620073 
 01/18  18:00:00,36334614.20692044,223626974.08180067 
 01/18  19:00:00,87121324.46308938,260446761.94040146 
 01/18  20:00:00,116026679.5314265,278154234.6639447 
 01/18  21:00:00,130479167.07970402,310073452.7804306 
 01/18  22:00:00,116026679.5314265,316476904.2711447 
 01/18  23:00:00,87121324.46308938,237119919.57080144 
 01/18  24:00:00,43357451.11758568,177234649.95748654 
 01/19  01:00:00,28904963.56930822,96537163.26531492 
 01/19  02:00:00,21882138.185889654,91277193.57122909 
 01/19  03:00:00,14452487.548277447,86017223.8771433 
 01/19  04:00:00,14452487.548277447,86017223.8771433 
 01/19  05:00:00,14452487.548277447,86017223.8771433 
 01/19  06:00:00,28904963.56930822,96537163.26531492 
 01/19  07:00:00,57809927.13861644,245189338.7076582 
 01/19  08:00:00,70757611.57172649,319907349.6610299 
 01/19  09:00:00,53989355.84730793,231075868.03205818 
 01/19  10:00:00,53746476.42112994,231075868.03205818 
 01/19  11:00:00,33753133.864458255,163643665.13140076 
 01/19  12:00:00,33753133.864458255,163643665.13140076 
 01/19  13:00:00,33753133.864458255,163643665.13140076 
 01/19  14:00:00,33753133.864458255,163643665.13140076 
 01/19  15:00:00,33846096.08009088,163643665.13140076 
 01/19  16:00:00,34032543.55255943,163643665.13140076 
 01/19  17:00:00,35429249.92342188,175307086.31620073 
 01/19  18:00:00,36334614.20692044,223626974.08180067 
 01/19  19:00:00,87121324.46308938,260446761.94040146 
 01/19  20:00:00,116026679.5314265,278154234.6639447 
 01/19  21:00:00,130479167.07970402,310073452.7804306 
 01/19  22:00:00,116026679.5314265,316476904.2711447 
 01/19  23:00:00,87121324.46308938,237119919.57080144 
 01/19  24:00:00,43357451.11758568,177234649.95748654 
 01/20  01:00:00,28904963.56930822,96537163.26531492 
 01/20  02:00:00,21882138.185889654,91277193.57122909 
 01/20  03:00:00,14452487.548277447,86017223.8771433 
 01/20  04:00:00,14452487.548277447,86017223.8771433 
 01/20  05:00:00,14452487.548277447,86017223.8771433 
 01/20  06:00:00,28904963.56930822,96537163.26531492 
 01/20  07:00:00,57809927.13861644,245189338.7076582 
 01/20  08:00:00,70840728.06932743,319907349.6610299 
 01/20  09:00:00,53991047.05889973,231075868.03205818 
 01/20  10:00:00,53679558.59067696,231075868.03205818 
 01/20  11:00:00,33753133.864458255,163643665.13140076 
 01/20  12:00:00,33753133.864458255,163643665.13140076 
 01/20  13:00:00,33753133.864458255,163643665.13140076 
 01/20  14:00:00,33753133.864458255,163643665.13140076 
 01/20  15:00:00,33772092.14125912,163643665.13140076 
 01/20  16:00:00,34005217.971970156,163643665.13140076 
 01/20  17:00:00,35359870.98443971,175307086.31620073 
 01/20  18:00:00,36334614.20692044,223626974.08180067 
 01/20  19:00:00,87121324.46308938,260446761.94040146 
 01/20  20:00:00,116026679.5314265,278154234.6639447 
 01/20  21:00:00,130479167.07970402,310073452.7804306 
 01/20  22:00:00,116026679.5314265,316476904.2711447 
 01/20  23:00:00,87121324.46308938,237119919.57080144 
 01/20  24:00:00,43357451.11758568,177234649.95748654 
 01/21  01:00:00,30530698.589966886,96537163.26531492 
 01/21  02:00:00,30530698.589966886,96537163.26531492 
 01/21  03:00:00,14452487.548277447,86017223.8771433 
 01/21  04:00:00,14452487.548277447,86017223.8771433 
 01/21  05:00:00,14452487.548277447,86017223.8771433 
 01/21  06:00:00,14452487.548277447,86017223.8771433 
 01/21  07:00:00,46608921.15890301,181350902.47468653 
 01/21  08:00:00,45580379.93464235,252213786.14548656 
 01/21  09:00:00,58914582.4555956,309387410.2728582 
 01/21  10:00:00,58703302.46501754,262733725.53365818 
 01/21  11:00:00,43511144.7479484,170569837.85188654 
 01/21  12:00:00,35785302.640281595,165309868.15780073 
 01/21  13:00:00,35934496.02899741,165309868.15780073 
 01/21  14:00:00,36260040.45869622,165309868.15780073 
 01/21  15:00:00,36071745.484130666,165309868.15780073 
 01/21  16:00:00,36906520.22101835,165309868.15780073 
